PERMNO,date,TICKER,PRC,VOL
14593,20190729,AAPL,209.67999,21654489
14593,20190730,AAPL,208.78000,33896655
14593,20190731,AAPL,213.03999,69244350
14593,20190801,AAPL,208.42999,54311222
14593,20190802,AAPL,204.02000,40847150
14593,20190805,AAPL,193.34000,52387541
14593,20190806,AAPL,197.00000,35819392
14593,20190807,AAPL,199.03999,33363472
14593,20190808,AAPL,203.42999,27004723
14593,20190809,AAPL,200.99001,24613446
14593,20190812,AAPL,200.48000,22468589
14593,20190813,AAPL,208.97000,47535186
14593,20190814,AAPL,202.75000,36538683
14593,20190815,AAPL,201.74001,27879916
14593,20190816,AAPL,206.50000,28807925
14593,20190819,AAPL,210.35001,24422407
14593,20190820,AAPL,210.36000,26913129
14593,20190821,AAPL,212.64000,21563248
14593,20190822,AAPL,212.46001,22257315
14593,20190823,AAPL,202.64000,46863844
14593,20190826,AAPL,206.49001,26063130
14593,20190827,AAPL,204.16000,25896044
14593,20190828,AAPL,205.53000,15949732
14593,20190829,AAPL,209.00999,21004630
14593,20190830,AAPL,208.74001,21161461
14593,20190903,AAPL,205.70000,20053174
14593,20190904,AAPL,209.19000,19211820
14593,20190905,AAPL,213.28000,23939878
14593,20190906,AAPL,213.25999,19356432
14593,20190909,AAPL,214.17000,27297513
14593,20190910,AAPL,216.70000,31768578
14593,20190911,AAPL,223.59000,44257876
14593,20190912,AAPL,223.08501,32218891
14593,20190913,AAPL,218.75000,39760996
14593,20190916,AAPL,219.89999,21154486
14593,20190917,AAPL,220.70000,18382388
14593,20190918,AAPL,222.77000,25635196
14593,20190919,AAPL,220.96001,22180876
14593,20190920,AAPL,217.73000,57988486
